HourlyWindDirection,HourlyWindSpeed,PrevHourlyWindDirection,PrevHourlyWindSpeed,TimeOfDay,TimeOfYear
030,5,030,3,0.399305555555556,0.0065734398782344
340,3,030,5,0.413194444444444,0.00661149162861492
340,3,340,3,0.427083333333333,0.00664954337899543
350,3,340,3,0.440972222222222,0.00668759512937595
330,3,350,3,0.454861111111111,0.00672564687975647
000,0,330,3,0.46875,0.00676369863013699
030,6,000,0,0.482638888888889,0.0068017503805175
040,7,030,6,0.496527777777778,0.00683980213089802
030,6,040,7,0.510416666666667,0.00687785388127854
020,5,030,6,0.524305555555556,0.00691590563165906
020,6,020,5,0.538194444444444,0.00695395738203957
020,6,020,6,0.552083333333333,0.00699200913242009
360,5,020,6,0.565972222222222,0.00703006088280061
350,6,360,5,0.579861111111111,0.00706811263318113
340,6,350,6,0.59375,0.00710616438356164
360,6,340,6,0.607638888888889,0.00714421613394216
330,8,360,6,0.621527777777778,0.00718226788432268
320,8,330,8,0.635416666666667,0.0072203196347032
320,6,320,8,0.649305555555556,0.00725837138508371
330,8,320,6,0.663194444444444,0.00729642313546423
310,6,330,8,0.677083333333333,0.00733447488584475
310,8,310,6,0.690972222222222,0.00737252663622527
320,6,310,8,0.704861111111111,0.00741057838660578
330,7,320,6,0.71875,0.0074486301369863
330,6,330,7,0.732638888888889,0.00748668188736682
340,7,330,6,0.746527777777778,0.00752473363774734
340,8,340,7,0.760416666666667,0.00756278538812785
330,6,340,8,0.774305555555556,0.00760083713850837
330,7,330,6,0.788194444444444,0.00763888888888889
330,8,330,7,0.802083333333333,0.00767694063926941
330,7,330,8,0.815972222222222,0.00771499238964992
350,7,330,7,0.829861111111111,0.00775304414003044
320,5,350,7,0.84375,0.00779109589041096
340,6,320,5,0.857638888888889,0.00782914764079148
340,6,340,6,0.871527777777778,0.00786719939117199
330,6,340,6,0.885416666666667,0.00790525114155251
330,7,330,6,0.899305555555556,0.00794330289193303
340,7,330,7,0.913194444444444,0.00798135464231355
340,7,340,7,0.927083333333333,0.00801940639269406
330,7,340,7,0.940972222222222,0.00805745814307458
330,7,330,7,0.954861111111111,0.0080955098934551
330,7,330,7,0.96875,0.00813356164383562
320,8,330,7,0.982638888888889,0.00817161339421613
330,8,320,8,0.996527777777778,0.00820966514459665
330,9,330,8,0.0104166666666667,0.00824771689497717
320,8,330,9,0.0243055555555556,0.00828576864535769
330,9,320,8,0.0381944444444444,0.0083238203957382
330,9,330,9,0.0520833333333333,0.00836187214611872
320,8,330,9,0.0659722222222222,0.00839992389649924
330,7,320,8,0.0798611111111111,0.00843797564687976
330,8,330,7,0.09375,0.00847602739726027
320,8,330,8,0.107638888888889,0.00851407914764079
320,6,320,8,0.121527777777778,0.00855213089802131
310,7,320,6,0.135416666666667,0.00859018264840183
320,7,310,7,0.149305555555556,0.00862823439878234
320,8,320,7,0.163194444444444,0.00866628614916286
320,6,320,8,0.177083333333333,0.00870433789954338
320,7,320,6,0.190972222222222,0.0087423896499239
330,7,320,7,0.204861111111111,0.00878044140030441
340,8,330,7,0.21875,0.00881849315068493
330,7,340,8,0.232638888888889,0.00885654490106545
340,8,330,7,0.246527777777778,0.00889459665144597
330,8,340,8,0.260416666666667,0.00893264840182648
340,8,330,8,0.274305555555556,0.008970700152207
320,7,340,8,0.288194444444444,0.00900875190258752
320,7,320,7,0.302083333333333,0.00904680365296804
330,7,320,7,0.315972222222222,0.00908485540334855
330,5,330,7,0.329861111111111,0.00912290715372907
350,5,330,5,0.34375,0.00916095890410959
330,5,350,5,0.357638888888889,0.00919901065449011
320,6,330,5,0.371527777777778,0.00923706240487062
320,8,320,6,0.385416666666667,0.00927511415525114
330,9,320,8,0.399305555555556,0.00931316590563166
320,8,330,9,0.413194444444444,0.00935121765601218
330,8,320,8,0.427083333333333,0.00938926940639269
320,7,330,8,0.440972222222222,0.00942732115677321
310,7,320,7,0.454861111111111,0.00946537290715373
350,7,310,7,0.46875,0.00950342465753425
330,7,350,7,0.482638888888889,0.00954147640791476
340,6,330,7,0.496527777777778,0.00957952815829528
330,9,340,6,0.510416666666667,0.0096175799086758
330,9,330,9,0.524305555555556,0.00965563165905632
310,10,330,9,0.538194444444444,0.00969368340943683
320,9,310,10,0.552083333333333,0.00973173515981735
320,10,320,9,0.565972222222222,0.00976978691019787
340,9,320,10,0.579861111111111,0.00980783866057839
330,10,340,9,0.59375,0.0098458904109589
310,9,330,10,0.607638888888889,0.00988394216133942
310,11,310,9,0.621527777777778,0.00992199391171994
310,11,310,11,0.635416666666667,0.00996004566210046
320,14,310,11,0.649305555555556,0.00999809741248097
310,10,320,14,0.663194444444444,0.0100361491628615
300,10,310,10,0.677083333333333,0.010074200913242
310,10,300,10,0.690972222222222,0.0101122526636225
320,8,310,10,0.704861111111111,0.010150304414003
310,9,320,8,0.71875,0.0101883561643836
310,9,310,9,0.732638888888889,0.0102264079147641
320,8,310,9,0.746527777777778,0.0102644596651446
320,7,320,8,0.760416666666667,0.0103025114155251
320,9,320,7,0.774305555555556,0.0103405631659056
310,8,320,9,0.788194444444444,0.0103786149162861
320,8,310,8,0.802083333333333,0.0104166666666667
320,8,320,8,0.815972222222222,0.0104547184170472
330,9,320,8,0.829861111111111,0.0104927701674277
330,9,330,9,0.84375,0.0105308219178082
320,9,330,9,0.857638888888889,0.0105688736681887
320,8,320,9,0.871527777777778,0.0106069254185693
320,8,320,8,0.885416666666667,0.0106449771689498
310,8,320,8,0.899305555555556,0.0106830289193303
320,10,310,8,0.913194444444444,0.0107210806697108
320,8,320,10,0.927083333333333,0.0107591324200913
310,7,320,8,0.940972222222222,0.0107971841704718
320,7,310,7,0.954861111111111,0.0108352359208524
330,7,320,7,0.96875,0.0108732876712329
320,9,330,7,0.982638888888889,0.0109113394216134
320,9,320,9,0.996527777777778,0.0109493911719939
320,9,320,9,0.0104166666666667,0.0109874429223744
320,9,320,9,0.0243055555555556,0.0110254946727549
320,7,320,9,0.0381944444444444,0.0110635464231355
320,9,320,7,0.0520833333333333,0.011101598173516
310,10,320,9,0.0659722222222222,0.0111396499238965
320,8,310,10,0.0798611111111111,0.011177701674277
320,8,320,8,0.09375,0.0112157534246575
320,8,320,8,0.107638888888889,0.0112538051750381
330,8,320,8,0.121527777777778,0.0112918569254186
330,8,330,8,0.135416666666667,0.0113299086757991
330,8,330,8,0.149305555555556,0.0113679604261796
340,8,330,8,0.163194444444444,0.0114060121765601
330,8,340,8,0.177083333333333,0.0114440639269406
320,8,330,8,0.190972222222222,0.0114821156773212
320,8,320,8,0.204861111111111,0.0115201674277017
330,7,320,8,0.21875,0.0115582191780822
320,7,330,7,0.232638888888889,0.0115962709284627
320,9,320,7,0.246527777777778,0.0116343226788432
320,9,320,9,0.260416666666667,0.0116723744292237
320,7,320,9,0.274305555555556,0.0117104261796043
330,7,320,7,0.288194444444444,0.0117484779299848
340,5,330,7,0.302083333333333,0.0117865296803653
330,8,340,5,0.315972222222222,0.0118245814307458
330,7,330,8,0.329861111111111,0.0118626331811263
340,6,330,7,0.34375,0.0119006849315068
350,6,340,6,0.357638888888889,0.0119387366818874
360,5,350,6,0.371527777777778,0.0119767884322679
330,7,360,5,0.385416666666667,0.0120148401826484
340,7,330,7,0.399305555555556,0.0120528919330289
310,10,340,7,0.413194444444444,0.0120909436834094
310,8,310,10,0.427083333333333,0.01212899543379
330,8,310,8,0.440972222222222,0.0121670471841705
330,7,330,8,0.454861111111111,0.012205098934551
320,7,330,7,0.46875,0.0122431506849315
010,3,320,7,0.482638888888889,0.012281202435312
310,3,010,3,0.496527777777778,0.0123192541856925
310,7,310,3,0.510416666666667,0.0123573059360731
320,7,310,7,0.524305555555556,0.0123953576864536
310,3,320,7,0.538194444444444,0.0124334094368341
310,6,310,3,0.552083333333333,0.0124714611872146
310,8,310,6,0.565972222222222,0.0125095129375951
310,9,310,8,0.579861111111111,0.0125475646879756
310,10,310,9,0.59375,0.0125856164383562
310,8,310,10,0.607638888888889,0.0126236681887367
330,9,310,8,0.621527777777778,0.0126617199391172
310,8,330,9,0.635416666666667,0.0126997716894977
310,7,310,8,0.649305555555556,0.0127378234398782
340,8,310,7,0.663194444444444,0.0127758751902588
310,7,340,8,0.677083333333333,0.0128139269406393
320,6,310,7,0.690972222222222,0.0128519786910198
330,6,320,6,0.704861111111111,0.0128900304414003
320,6,330,6,0.71875,0.0129280821917808
320,5,320,6,0.732638888888889,0.0129661339421613
330,3,320,5,0.746527777777778,0.0130041856925419
340,3,330,3,0.760416666666667,0.0130422374429224
320,5,340,3,0.774305555555556,0.0130802891933029
330,3,320,5,0.788194444444444,0.0131183409436834
340,3,330,3,0.801388888888889,0.0131544901065449
320,3,340,3,0.815972222222222,0.0131944444444444
000,0,320,3,0.829861111111111,0.013232496194825
340,3,000,0,0.84375,0.0132705479452055
350,3,340,3,0.857638888888889,0.013308599695586
310,5,350,3,0.871527777777778,0.0133466514459665
320,5,310,5,0.883333333333333,0.01337899543379
000,0,320,5,0.899305555555556,0.0134227549467275
000,0,000,0,0.913194444444444,0.0134608066971081
000,0,000,0,0.927083333333333,0.0134988584474886
000,0,000,0,0.940972222222222,0.0135369101978691
000,0,000,0,0.954861111111111,0.0135749619482496
000,0,000,0,0.96875,0.0136130136986301
000,0,000,0,0.982638888888889,0.0136510654490107
000,0,000,0,0.996527777777778,0.0136891171993912
010,3,000,0,0.0104166666666667,0.0137271689497717
000,0,010,3,0.0243055555555556,0.0137652207001522
000,0,000,0,0.0381944444444444,0.0138032724505327
000,0,000,0,0.0520833333333333,0.0138413242009132
000,0,000,0,0.0659722222222222,0.0138793759512938
000,0,000,0,0.0798611111111111,0.0139174277016743
000,0,000,0,0.09375,0.0139554794520548
000,0,000,0,0.107638888888889,0.0139935312024353
000,0,000,0,0.121527777777778,0.0140315829528158
010,3,000,0,0.135416666666667,0.0140696347031963
000,0,010,3,0.149305555555556,0.0141076864535769
030,3,000,0,0.163194444444444,0.0141457382039574
000,0,030,3,0.177083333333333,0.0141837899543379
000,0,000,0,0.190972222222222,0.0142218417047184
000,0,000,0,0.204861111111111,0.0142598934550989
000,0,000,0,0.21875,0.0142979452054795
000,0,000,0,0.232638888888889,0.01433599695586
000,0,000,0,0.246527777777778,0.0143740487062405
000,0,000,0,0.260416666666667,0.014412100456621
000,0,000,0,0.274305555555556,0.0144501522070015
000,0,000,0,0.288194444444444,0.014488203957382
070,3,000,0,0.302083333333333,0.0145262557077626
000,0,070,3,0.315972222222222,0.0145643074581431
000,0,000,0,0.329861111111111,0.0146023592085236
000,0,000,0,0.34375,0.0146404109589041
000,0,000,0,0.357638888888889,0.0146784627092846
000,0,000,0,0.371527777777778,0.0147165144596651
000,0,000,0,0.385416666666667,0.0147545662100457
070,3,000,0,0.397222222222222,0.0147869101978691
090,3,070,3,0.413194444444444,0.0148306697108067
110,3,090,3,0.427083333333333,0.0148687214611872
000,0,110,3,0.440972222222222,0.0149067732115677
000,0,000,0,0.454861111111111,0.0149448249619482
000,0,000,0,0.46875,0.0149828767123288
000,0,000,0,0.482638888888889,0.0150209284627093
000,0,000,0,0.496527777777778,0.0150589802130898
000,0,000,0,0.510416666666667,0.0150970319634703
000,0,000,0,0.524305555555556,0.0151350837138508
000,0,000,0,0.538194444444444,0.0151731354642314
000,0,000,0,0.552083333333333,0.0152111872146119
000,0,000,0,0.565972222222222,0.0152492389649924
000,0,000,0,0.579861111111111,0.0152872907153729
000,0,000,0,0.59375,0.0153253424657534
000,0,000,0,0.607638888888889,0.0153633942161339
310,3,000,0,0.621527777777778,0.0154014459665145
000,0,310,3,0.635416666666667,0.015439497716895
360,3,000,0,0.649305555555556,0.0154775494672755
340,5,360,3,0.663194444444444,0.015515601217656
330,3,340,5,0.677083333333333,0.0155536529680365
320,7,330,3,0.690972222222222,0.015591704718417
320,6,320,7,0.704861111111111,0.0156297564687976
330,5,320,6,0.71875,0.0156678082191781
340,5,330,5,0.732638888888889,0.0157058599695586
340,3,340,5,0.746527777777778,0.0157439117199391
350,5,340,3,0.760416666666667,0.0157819634703196
020,5,350,5,0.774305555555556,0.0158200152207002
020,6,020,5,0.788194444444444,0.0158580669710807
040,8,020,6,0.802083333333333,0.0158961187214612
040,11,040,8,0.815972222222222,0.0159341704718417
040,8,040,11,0.829861111111111,0.0159722222222222
040,5,040,8,0.84375,0.0160102739726027
040,6,040,5,0.857638888888889,0.0160483257229833
040,6,040,6,0.871527777777778,0.0160863774733638
030,6,040,6,0.885416666666667,0.0161244292237443
020,6,030,6,0.899305555555556,0.0161624809741248
020,8,020,6,0.913194444444444,0.0162005327245053
360,6,020,8,0.927083333333333,0.0162385844748858
010,8,360,6,0.940972222222222,0.0162766362252664
010,6,010,8,0.954861111111111,0.0163146879756469
360,6,010,6,0.96875,0.0163527397260274
010,6,360,6,0.982638888888889,0.0163907914764079
010,7,010,6,0.996527777777778,0.0164288432267884
,,010,7,0.999305555555556,0.0164364535768645
010,7,,,0.0104166666666667,0.0164668949771689
010,6,010,7,0.0243055555555556,0.0165049467275495
010,8,010,6,0.0381944444444444,0.01654299847793
360,5,010,8,0.0520833333333333,0.0165810502283105
010,8,360,5,0.0659722222222222,0.016619101978691
010,6,010,8,0.0798611111111111,0.0166571537290715
360,5,010,6,0.09375,0.0166952054794521
010,7,360,5,0.107638888888889,0.0167332572298326
010,9,010,7,0.121527777777778,0.0167713089802131
360,6,010,9,0.135416666666667,0.0168093607305936
010,9,360,6,0.149305555555556,0.0168474124809741
360,9,010,9,0.163194444444444,0.0168854642313546
360,7,360,9,0.177083333333333,0.0169235159817352
360,11,360,7,0.190972222222222,0.0169615677321157
350,11,360,11,0.204861111111111,0.0169996194824962
350,9,350,11,0.21875,0.0170376712328767
350,14,350,9,0.232638888888889,0.0170757229832572
350,13,350,14,0.246527777777778,0.0171137747336377
350,14,350,13,0.260416666666667,0.0171518264840183
350,14,350,14,0.274305555555556,0.0171898782343988
350,15,350,14,0.288194444444444,0.0172279299847793
350,15,350,15,0.302083333333333,0.0172659817351598
350,16,350,15,0.315972222222222,0.0173040334855403
350,14,350,16,0.329861111111111,0.0173420852359209
340,16,350,14,0.34375,0.0173801369863014
350,16,340,16,0.357638888888889,0.0174181887366819
350,15,350,16,0.371527777777778,0.0174562404870624
350,14,350,15,0.385416666666667,0.0174942922374429
350,15,350,14,0.399305555555556,0.0175323439878234
350,17,350,15,0.413194444444444,0.017570395738204
340,18,350,17,0.427083333333333,0.0176084474885845
340,18,340,18,0.440972222222222,0.017646499238965
340,20,340,18,0.454861111111111,0.0176845509893455
350,17,340,20,0.46875,0.017722602739726
350,17,350,17,0.482638888888889,0.0177606544901065
350,15,350,17,0.496527777777778,0.0177987062404871
340,17,350,15,0.510416666666667,0.0178367579908676
350,18,340,17,0.524305555555556,0.0178748097412481
340,20,350,18,0.538194444444444,0.0179128614916286
340,20,340,20,0.552083333333333,0.0179509132420091
330,23,340,20,0.565972222222222,0.0179889649923896
340,21,330,23,0.579861111111111,0.0180270167427702
340,17,340,21,0.59375,0.0180650684931507
330,21,340,17,0.607638888888889,0.0181031202435312
330,24,330,21,0.621527777777778,0.0181411719939117
330,18,330,24,0.635416666666667,0.0181792237442922
330,20,330,18,0.649305555555556,0.0182172754946728
330,22,330,20,0.663194444444444,0.0182553272450533
330,17,330,22,0.677083333333333,0.0182933789954338
330,18,330,17,0.690972222222222,0.0183314307458143
330,16,330,18,0.704861111111111,0.0183694824961948
330,14,330,16,0.71875,0.0184075342465753
330,16,330,14,0.732638888888889,0.0184455859969559
330,16,330,16,0.746527777777778,0.0184836377473364
330,20,330,16,0.760416666666667,0.0185216894977169
320,17,330,20,0.774305555555556,0.0185597412480974
320,20,320,17,0.788194444444444,0.0185977929984779
330,20,320,20,0.802083333333333,0.0186358447488584
330,16,330,20,0.815972222222222,0.018673896499239
330,21,330,16,0.829861111111111,0.0187119482496195
330,21,330,21,0.84375,0.01875
330,16,330,21,0.857638888888889,0.0187880517503805
330,20,330,16,0.871527777777778,0.018826103500761
330,16,330,20,0.885416666666667,0.0188641552511416
330,18,330,16,0.899305555555556,0.0189022070015221
330,17,330,18,0.913194444444444,0.0189402587519026
320,14,330,17,0.927083333333333,0.0189783105022831
330,16,320,14,0.940972222222222,0.0190163622526636
330,16,330,16,0.954861111111111,0.0190544140030441
330,17,330,16,0.96875,0.0190924657534247
330,17,330,17,0.982638888888889,0.0191305175038052
330,18,330,17,0.996527777777778,0.0191685692541857
,,330,18,0.999305555555556,0.0191761796042618
330,15,,,0.0104166666666667,0.0192066210045662
330,15,330,15,0.0243055555555556,0.0192446727549467
320,15,330,15,0.0381944444444444,0.0192827245053272
330,15,320,15,0.0520833333333333,0.0193207762557078
290,13,330,15,0.0659722222222222,0.0193588280060883
310,14,290,13,0.0798611111111111,0.0193968797564688
320,15,310,14,0.09375,0.0194349315068493
320,15,320,15,0.107638888888889,0.0194729832572298
320,16,320,15,0.121527777777778,0.0195110350076103
330,15,320,16,0.135416666666667,0.0195490867579909
320,15,330,15,0.149305555555556,0.0195871385083714
310,13,320,15,0.163194444444444,0.0196251902587519
320,15,310,13,0.177083333333333,0.0196632420091324
320,13,320,15,0.190972222222222,0.0197012937595129
320,14,320,13,0.204861111111111,0.0197393455098935
320,16,320,14,0.21875,0.019777397260274
320,16,320,16,0.232638888888889,0.0198154490106545
320,13,320,16,0.246527777777778,0.019853500761035
310,14,320,13,0.260416666666667,0.0198915525114155
320,14,310,14,0.274305555555556,0.019929604261796
320,16,320,14,0.288194444444444,0.0199676560121766
320,14,320,16,0.302083333333333,0.0200057077625571
320,14,320,14,0.315972222222222,0.0200437595129376
310,14,320,14,0.329861111111111,0.0200818112633181
320,13,310,14,0.34375,0.0201198630136986
310,13,320,13,0.357638888888889,0.0201579147640791
320,14,310,13,0.371527777777778,0.0201959665144597
320,13,320,14,0.385416666666667,0.0202340182648402
320,13,320,13,0.399305555555556,0.0202720700152207
320,14,320,13,0.413194444444444,0.0203101217656012
320,16,320,14,0.427083333333333,0.0203481735159817
320,14,320,16,0.440972222222222,0.0203862252663623
320,10,320,14,0.454861111111111,0.0204242770167428
330,11,320,10,0.46875,0.0204623287671233
320,14,330,11,0.482638888888889,0.0205003805175038
310,14,320,14,0.496527777777778,0.0205384322678843
310,13,310,14,0.510416666666667,0.0205764840182648
310,13,310,13,0.524305555555556,0.0206145357686454
310,13,310,13,0.538194444444444,0.0206525875190259
310,14,310,13,0.552083333333333,0.0206906392694064
310,11,310,14,0.565972222222222,0.0207286910197869
310,11,310,11,0.579861111111111,0.0207667427701674
310,10,310,11,0.59375,0.0208047945205479
310,11,310,10,0.607638888888889,0.0208428462709285
320,11,310,11,0.621527777777778,0.020880898021309
300,10,320,11,0.635416666666667,0.0209189497716895
310,11,300,10,0.649305555555556,0.02095700152207
310,9,310,11,0.663194444444444,0.0209950532724505
310,10,310,9,0.677083333333333,0.021033105022831
300,11,310,10,0.690972222222222,0.0210711567732116
310,10,300,11,0.704166666666667,0.0211073059360731
